"county_fips","state_fips","county","state"
"01001","01","Autauga","AL"
"01003","01","Baldwin","AL"
"01005","01","Barbour","AL"
"01007","01","Bibb","AL"
"01009","01","Blount","AL"
"01011","01","Bullock","AL"
"01013","01","Butler","AL"
"01015","01","Calhoun","AL"
"01017","01","Chambers","AL"
"01019","01","Cherokee","AL"
"01021","01","Chilton","AL"
"01023","01","Choctaw","AL"
"01025","01","Clarke","AL"
"01027","01","Clay","AL"
"01029","01","Cleburne","AL"
"01031","01","Coffee","AL"
"01033","01","Colbert","AL"
"01035","01","Conecuh","AL"
"01037","01","Coosa","AL"
"01039","01","Covington","AL"
"01041","01","Crenshaw","AL"
"01043","01","Cullman","AL"
"01045","01","Dale","AL"
"01047","01","Dallas","AL"
"01049","01","DeKalb","AL"
"01051","01","Elmore","AL"
"01053","01","Escambia","AL"
"01055","01","Etowah","AL"
"01057","01","Fayette","AL"
"01059","01","Franklin","AL"
"01061","01","Geneva","AL"
"01063","01","Greene","AL"
"01065","01","Hale","AL"
"01067","01","Henry","AL"
"01069","01","Houston","AL"
"01071","01","Jackson","AL"
"01073","01","Jefferson","AL"
"01075","01","Lamar","AL"
"01077","01","Lauderdale","AL"
"01079","01","Lawrence","AL"
"01081","01","Lee","AL"
"01083","01","Limestone","AL"
"01085","01","Lowndes","AL"
"01087","01","Macon","AL"
"01089","01","Madison","AL"
"01091","01","Marengo","AL"
"01093","01","Marion","AL"
"01095","01","Marshall","AL"
"01097","01","Mobile","AL"
"01099","01","Monroe","AL"
"01101","01","Montgomery","AL"
"01103","01","Morgan","AL"
"01105","01","Perry","AL"
"01107","01","Pickens","AL"
"01109","01","Pike","AL"
"01111","01","Randolph","AL"
"01113","01","Russell","AL"
"01115","01","Saint Clair","AL"
"01117","01","Shelby","AL"
"01119","01","Sumter","AL"
"01121","01","Talladega","AL"
"01123","01","Tallapoosa","AL"
"01125","01","Tuscaloosa","AL"
"01127","01","Walker","AL"
"01129","01","Washington","AL"
"01131","01","Wilcox","AL"
"01133","01","Winston","AL"
"02013","02","Aleutians East","AK"
"02016","02","Aleutians West","AK"
"02020","02","Anchorage","AK"
"02050","02","Bethel","AK"
"02060","02","Bristol Bay","AK"
"02068","02","Denali","AK"
"02070","02","Dillingham","AK"
"02090","02","Fairbanks North Star","AK"
"02100","02","Haines","AK"
"02105","02","Hoonah-Angoon","AK"
"02110","02","Juneau","AK"
"02122","02","Kenai Peninsula","AK"
"02130","02","Ketchikan Gateway","AK"
"02150","02","Kodiak Island","AK"
"02164","02","Lake and Peninsula","AK"
"02170","02","Matanuska Susitna","AK"
"02180","02","Nome","AK"
"02185","02","North Slope","AK"
"02188","02","Northwest Arctic","AK"
"02195","02","Petersburg Census Area","AK"
"02198","02","Prince Wales Hyder","AK"
"02220","02","Sitka","AK"
"02230","02","Skagway","AK"
"02240","02","Southeast Fairbanks","AK"
"02261","02","Valdez Cordova","AK"
"02270","02","Wade Hampton","AK"
"02275","02","Wrangell","AK"
"02280","02","Petersburg","AK"
"02282","02","Yakutat","AK"
"02290","02","Yukon Koyukuk","AK"
"04001","04","Apache","AZ"
"04003","04","Cochise","AZ"
"04005","04","Coconino","AZ"
"04007","04","Gila","AZ"
"04009","04","Graham","AZ"
"04011","04","Greenlee","AZ"
"04012","04","La Paz","AZ"
"04013","04","Maricopa","AZ"
"04015","04","Mohave","AZ"
"04017","04","Navajo","AZ"
"04019","04","Pima","AZ"
"04021","04","Pinal","AZ"
"04023","04","Santa Cruz","AZ"
"04025","04","Yavapai","AZ"
"04027","04","Yuma","AZ"
"05001","05","Arkansas","AR"
"05003","05","Ashley","AR"
"05005","05","Baxter","AR"
"05007","05","Benton","AR"
"05009","05","Boone","AR"
"05011","05","Bradley","AR"
"05013","05","Calhoun","AR"
"05015","05","Carroll","AR"
"05017","05","Chicot","AR"
"05019","05","Clark","AR"
"05021","05","Clay","AR"
"05023","05","Cleburne","AR"
"05025","05","Cleveland","AR"
"05027","05","Columbia","AR"
"05029","05","Conway","AR"
"05031","05","Craighead","AR"
"05033","05","Crawford","AR"
"05035","05","Crittenden","AR"
"05037","05","Cross","AR"
"05039","05","Dallas","AR"
"05041","05","Desha","AR"
"05043","05","Drew","AR"
"05045","05","Faulkner","AR"
"05047","05","Franklin","AR"
"05049","05","Fulton","AR"
"05051","05","Garland","AR"
"05053","05","Grant","AR"
"05055","05","Greene","AR"
"05057","05","Hempstead","AR"
"05059","05","Hot Spring","AR"
"05061","05","Howard","AR"
"05063","05","Independence","AR"
"05065","05","Izard","AR"
"05067","05","Jackson","AR"
"05069","05","Jefferson","AR"
"05071","05","Johnson","AR"
"05073","05","Lafayette","AR"
"05075","05","Lawrence","AR"
"05077","05","Lee","AR"
"05079","05","Lincoln","AR"
"05081","05","Little River","AR"
"05083","05","Logan","AR"
"05085","05","Lonoke","AR"
"05087","05","Madison","AR"
"05089","05","Marion","AR"
"05091","05","Miller","AR"
"05093","05","Mississippi","AR"
"05095","05","Monroe","AR"
"05097","05","Montgomery","AR"
"05099","05","Nevada","AR"
"05101","05","Newton","AR"
"05103","05","Ouachita","AR"
"05105","05","Perry","AR"
"05107","05","Phillips","AR"
"05109","05","Pike","AR"
"05111","05","Poinsett","AR"
"05113","05","Polk","AR"
"05115","05","Pope","AR"
"05117","05","Prairie","AR"
"05119","05","Pulaski","AR"
"05121","05","Randolph","AR"
"05123","05","Saint Francis","AR"
"05125","05","Saline","AR"
"05127","05","Scott","AR"
"05129","05","Searcy","AR"
"05131","05","Sebastian","AR"
"05133","05","Sevier","AR"
"05135","05","Sharp","AR"
"05137","05","Stone","AR"
"05139","05","Union","AR"
"05141","05","Van Buren","AR"
"05143","05","Washington","AR"
"05145","05","White","AR"
"05147","05","Woodruff","AR"
"05149","05","Yell","AR"
"06001","06","Alameda","CA"
"06003","06","Alpine","CA"
"06005","06","Amador","CA"
"06007","06","Butte","CA"
"06009","06","Calaveras","CA"
"06011","06","Colusa","CA"
"06013","06","Contra Costa","CA"
"06015","06","Del Norte","CA"
"06017","06","El Dorado","CA"
"06019","06","Fresno","CA"
"06021","06","Glenn","CA"
"06023","06","Humboldt","CA"
"06025","06","Imperial","CA"
"06027","06","Inyo","CA"
"06029","06","Kern","CA"
"06031","06","Kings","CA"
"06033","06","Lake","CA"
"06035","06","Lassen","CA"
"06037","06","Los Angeles","CA"
"06039","06","Madera","CA"
"06041","06","Marin","CA"
"06043","06","Mariposa","CA"
"06045","06","Mendocino","CA"
"06047","06","Merced","CA"
"06049","06","Modoc","CA"
"06051","06","Mono","CA"
"06053","06","Monterey","CA"
"06055","06","Napa","CA"
